Code_Activite;Activite;temps_min;code_11;code_12;code_13;code_14;code_15;code_16;code_17;code_18;code_19;code_20;code_21;code_22;code_23;code_24;code_25;code_26;code_27;code_28;code_29;code_30;code_31;code_32;code_33;code_34;code_35;code_36;code_37;code_38;code_39;code_40;code_41;code_42;code_43;code_44;code_45;code_46
10;Activités Guichet;2338884844.08;o;o;o;o;o;o;0.437347324612941;0.916807773314712;o;o;;;;;;o;;o;o;;;;o;o;;o;;;;;o;;o;;;
1;Activités Production CCC en BP;129993025.01;o;o;o;o;o;o;0.0526526753870592;0.050955315781775;o;o;;;;;;o;;;o;;;;o;o;;o;;;;;o;;;;;
2;Activités Production CCC hors BP;7244518.51;o;o;o;;;;;;;;;;;;;o;;;o;;;;o;o;;o;;;;;o;;;;;
6;Activités LCB en BP;858923799.67;o;o;;o;o;o;0.51;0.0322369109035136;o;o;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;;
8;Commissionnement LCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Activités LCB hors BP;89879667.93;o;o;;;;;;;;;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;;
20;CIE - Autres;;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Directeur de Secteur (DS);173312534.81;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Responsable Espace Comercial (REC);232909395.79;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Responsable d'Exploitation (REX);123205810.11;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Responsable Clientèles Particuliers (RC Part);69823367.25;o;o;o;o;o;o;;;;o;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;;
15;CIE - Loyers et Charges Immobilières (hors Cplts de Loyers);56880953.82;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Structures Nationales;37835499.78;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;ST - Autres;662106542.87;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;ST - Locaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;SSM - Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;SSM - Syndical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;SSM - Formation;38603637.16;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;SSM - DSEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;SSM - Comptabilité Bureau;51161053.96;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Charges diverses;;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;DPOM Corse Courrier;0;;o;;;;;;;;;;;;;;o;;;o;;;;o;o;;o;;;;;;;;;;
99;Effectif hébergé ;29760000;;;;;o;;;;;;;;;;;;;;;;;;;;o;;o;;;;;;;;;
