TCACAA;cice
R105;211,2393233
R105000;32611,68303
R105107;10448,23051
R105115;12,22868177
R105201;102182,6435
R105210;31472,09701
R105254;1158,621789
R105308;3138,596485
R105392;82504,59315
R105461;25371,5947
R105480;3231,658625
R105496;2124,795105
R105775;2215,292399
R105R01;2382,878345
R105R20;43869,00297
R105R30;148241,7087
R105REC;2290,605834
R105REX;2863,702229
R106;94008,8999
R106000;5544592,268
R106107;1731393,561
R106108;10737,36883
R106115;36859,96579
R106201;26794725,05
R106207;43026,23086
R106210;724711,2008
R106254;437110,8721
R106308;401179,0867
R106392;1158296,44
R106461;11915931,45
R106480;1540277,845
R106496;988176,0164
R106700;7925,627158
R106775;163908,2817
R1067S1;593,9357276
R106999;10546,93708
R106R01;380981,95
R106R11;5164,275002
R106R20;4911470,095
R106R30;11,72273
R106R40;230826,8164
R106R55;15015,81111
R106REC;3041417,865
R106REX;2233703,416
R106RMB;1045860,893
R106X54;710,2028512
R119000;6365,560715
R119201;48369,35261
R119210;592,9904038
R119254;228,9309184
R119775;106,103393
R119R20;2088,749558
R122000;3103,80259
R122201;38198,06312
R122210;634,1156284
R122254;187,8917198
R122461;3995,808318
R122480;575,6906796
R122496;1164,302887
R122775;170,1194856
R122R20;5352,870686
R136;161,2490611
R136000;1084562,227
R136107;149544,7977
R136108;1929,52109
R136115;4275,901566
R136201;6994947,447
R136207;8259,624479
R136210;167780,5904
R136254;16936,76824
R136308;3299,107855
R136392;70858,01752
R136461;1679990,377
R136480;114188,5581
R136496;55023,0897
R136555;1385,563929
R136580;104,2663635
R136700;669,5749762
R136775;77045,81592
R1367S1;15,42894506
R136999;2408,507026
R136FJ1;1003,764253
R136FJ3;15460,51977
R136FJ6;309,3581987
R136R00;1567,626941
R136R01;12925,45256
R136R11;44,84761064
R136R20;832636,1527
R136R30;713,8520491
R136R40;30621,4996
R136R55;27,42334839
R136REC;32286,71625
R136REX;25541,57887
R136RMB;9036,005047
R308;92,5344
R308000;65527,77054
R308107;7995,185706
R308108;277,5794841
R308115;12,36836234
R308207;202006,7288
R308223;23749,35365
R308254;1087,5523
R308322;301,5267965
R308408;834,6761099
R308468;5405,625098
R308479;5786,273668
R308785;1935,089512
R3087S1;22,89780322
R3087SE;71,07923531
R308896;10430,65267
R308897;131317,4421
R308898;143626,4794
R308900;7275,700856
R308901;35987,63199
R308936;14304,66308
R308976;26741,70492
R308990;3035,854359
R331000;387,5220191
R331107;206,4245359
R331108;1537,132556
R331531;7859,232116
R331SUR;5303,854505
R350;175,168266
R350000;316624,6844
R350107;638,9504888
R350207;399359,3251
R350254;3965,884586
R3507S1;552,9086018
R350N15;241282,6057
R350N25;184978,1142
R350N35;1401043,032
R350N45;81917,56777
R350N55;45849,6662
R350N95;35709,71866
R400000;885,2809
R400207;4785,098494
R400254;34,0846583
R404;6916,31481
R404000;188100,6027
R404107;39449,62413
R404108;7203,129104
R404115;512,531851
R404187;2137,018838
R404207;489950,0973
R404223;5876,537434
R404224;5115,618918
R404254;6855,659759
R404281;34361,87628
R404322;78597,03673
