PC;Lib_Processus_Cascade;AM;Lib_Activite_Metier;AC;Lib_Activite_Cascade;Label;Lib_Label_Analytique;Concatener_PC_AM_AC_Label;Code_manuel;Type_activite;Activite_1;Lib_Code
PC080;COURRIER PILOTAGE ELP;AM1700;COMMISSIONNEMENT COURRIER;AC090;BP;PCPBCO;COMMISSIONNEMENT COURRIER PILOTE ELP EN;PC080AM1700AC090PCPBCO;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2200;DISTRIBUTION COURRIER;AC090;BP;PCPBDI;BP - DISTRIBUTION COURRIER METROPOLE;PC080AM2200AC090PCPBDI;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2700;INDIVIS BP COURRIER;AC090;BP;PCPBE9;BP - PROCESSUS COURRIER BRIGADES;PC080AM2700AC090PCPBE9;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2700;INDIVIS BP COURRIER;AC090;BP;PCPBMC;BP - ENVOI RECEPTION CABINE;PC080AM2700AC090PCPBMC;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2800;COMMERCIAL COURRIER;AC090;BP;PCPBCA;BP - COMMERCIAL COURRIER;PC080AM2800AC090PCPBCA;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2700;INDIVIS BP COURRIER;AC090;BP;PCPBIN;BP - INDIVIS COURRIER;PC080AM2700AC090PCPBIN;1;Activités opérationnelles;Activités Production CCC;Activités Production CCC en BP
PC080;COURRIER PILOTAGE ELP;AM2800;COMMERCIAL COURRIER;AC110;HORS BP;PCPDCA;COMMERCIAL COURRIER STRUCTURES TERRIT EL;PC080AM2800AC110PCPDCA;3;Activités opérationnelles;Activités Production CCC;Activités Production CCC hors BP
PC080;COURRIER PILOTAGE ELP;AM5200;STRUCT TERRIT AUTRES;AC110;HORS BP;PCPZIN;HORS BP COURRIER INDIVIS;PC080AM5200AC110PCPZIN;3;Activités opérationnelles;Activités Production CCC;Activités Production CCC hors BP
PC080;COURRIER PILOTAGE ELP;AM2800;COMMERCIAL COURRIER;AC120;COMMERCANTS;PCPZDT;COMMISSIONNEMENT DEBITANT DE TABAC;PC080AM2800AC120PCPZDT;4;Activités opérationnelles;Activités Production Courrier;Commerçants
PC100;CORSE DOM COURRIER;AM1600;COMMISSIONNEMENT COLIS;AC390;CORSE DOM COURRIER;OMCCCO;CORSE DOM COMMISSIONNEMENT COLIS PILOTE;PC100AM1600AC390OMCCCO;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM1700;COMMISSIONNEMENT COURRIER;AC390;CORSE DOM COURRIER;OCCCCO;CORSE DOM COMMISSIONNEMENT COURRIER EN C;PC100AM1700AC390OCCCCO;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM1700;COMMISSIONNEMENT COURRIER;AC390;CORSE DOM COURRIER;OCCTCO;CORSE DOM COMMISSIONNEMENT COURRIER EN C;PC100AM1700AC390OCCTCO;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM1700;COMMISSIONNEMENT COURRIER;AC390;CORSE DOM COURRIER;OCCZCO;CORSE DOM COMMISSIONNEMENT COURRIER;PC100AM1700AC390OCCZCO;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2000;COLLECTE COURRIER;AC390;CORSE DOM COURRIER;OCCCRE;CORSE DOM CONCENTRATION CENTRE COURRIER;PC100AM2000AC390OCCCRE;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2000;COLLECTE COURRIER;AC390;CORSE DOM COURRIER;OCCTRE;CORSE DOM CONCENTRATION CTC;PC100AM2000AC390OCCTRE;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCC48;CORSE DOM INDIVIS CENTRE COURRIER (448);PC100AM2200AC390OCCC48;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCCDI;CORSE DOM DISTRIBUTION EN CC;PC100AM2200AC390OCCCDI;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCCIN;CORSE DOM INDIVIS EN CC;PC100AM2200AC390OCCCIN;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCCMC;CORSE DOM CENTRE COURRIER ENVOI RECEPTIO;PC100AM2200AC390OCCCMC;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCCNP;CORSE DOM NON PRODUCTIF CENTRE COURRIER;PC100AM2200AC390OCCCNP;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
PC100;CORSE DOM COURRIER;AM2200;DISTRIBUTION COURRIER;AC390;CORSE DOM COURRIER;OCCTDI;CORSE DOM DISTRIBUTION COURRIER CTC;PC100AM2200AC390OCCTDI;5;Activités opérationnelles;DPOM Corse Courrier;DPOM Corse Courrier
