Code_Activite;Activite;temps_min;code_26;code_27;code_28;code_29;code_30;code_31;code_32;code_33;code_34;code_35;code_36;code_37;code_38;code_39;code_40;code_41;code_42;code_43;code_44;code_45;code_46;code_47;code_48;code_49;code_50;code_51;code_52;code_53;code_54;code_55;code_56;code_57;code_58;code_59;code_60
1;Activités Production CCC en BP;129993025,010;o;o;o;o;o;o;0,052652675;0,050955316;o;o;;;;;;o;;;o;;;;o;o;;o;;;;;o;;;;
2;Hébergement des facteurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Activités Production CCC hors BP;7244518,510;o;o;o;;;;;;;;;;;;;o;;;o;;;;o;o;;o;;;;;o;;;;
4;Commerçants;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;DPOM Corse Courrier;405493877,659;;o;;;;;;;;;;;;;;o;;;o;;;;o;o;;o;;;;;;;;;
6;Activités Colis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Activités LCB en BP;858923799,670;o;o;;o;o;o;0,51;0,032236911;o;o;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;
8;Responsable Clientèles Particuliers (RC Part);69823367,250;o;o;o;o;o;o;;;;;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;
9;Commissionnement LCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Activités LCB hors BP;89879667,930;o;o;;;;;;;;;;;;;;;;;o;;;;o;o;;o;;;;;o;;;;
11;Hébergement LCB;29760000,000;;;;;o;;;;;;;;;;;;;;;;;;;;o;;o;;;;;;;;
12;Activités Guichet;2338884844,080;o;o;o;o;o;o;0,437347325;0,916807773;o;o;;;;;;o;;o;o;;;;o;o;;o;;;;;o;;o;;
13;Charges Cantonnées;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;CIE - Loyers et Charges Immobilières (hors Cplts de Loyers);56880953,820;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Directeur de Secteur (DS);173312534,810;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Responsable Espace Comercial (REC);232909395,790;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Responsable d'Exploitation (REX);123205810,110;o;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CIE - Autres;;o;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;ST - Locaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;ST - Autres;662106542,870;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Structures Nationales;37835499,780;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Charges diverses;;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;SSM - Formation;38603637,160;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;SSM - Comptabilité Bureau;51161053,960;o;o;o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;SSM - Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;SSM - Syndical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;SSM - DSEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
