Code_Activite;Activite;code_26;code_27;code_28;code_29;code_30;code_31;code_32;code_33;code_34;code_35;code_36;code_37;code_38;code_39;code_40;code_41;code_42;code_43;code_44;code_45;code_46;code_47;code_48;code_49;code_50;code_51;code_52;code_53;code_54;code_55;code_56;code_57;code_58;code_59;code_13;code_60
1;Activités Production CCC en BP;;;;;;;;;;;o;o;o;o;o;;o;;;o;o;o;;;o;;o;o;o;o;;o;;;;
2;Hébergement des facteurs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Activités Production CCC hors BP;;;;;;;;;;;;o;o;o;o;;o;;;;o;o;;;o;;o;o;o;o;;o;;;;
5;DPOM Corse Courrier;;;;;;;;;;;o;;;;;;o;;;;o;o;;;;;;o;;o;;o;;;;
7;Activités LCB en BP;;;;;;;;;;;o;o;o;o;o;;o;;;o;o;o;;;o;;o;o;o;o;;o;;;;
8;Responsable Clientèles Particuliers (RC Part);;;;;;;;;;;o;o;o;o;o;;o;;;o;o;o;;;o;;o;o;o;o;;o;;;;
9;Commissionnement LCB;;;;;;;;;;;o;o;o;o;o;;o;;;;o;o;;;o;;o;o;o;o;;o;;;;
10;Activités LCB hors BP;;;;;;;;;;;;o;o;o;o;;o;;;;o;o;;;o;;o;o;o;o;;o;;;;
11;Hébergement LCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Activités Guichet;;;;;;;;;;;o;o;o;o;o;;o;;;o;o;o;;;o;;o;o;o;o;;o;;;;
30;CIE - Loyers et Charges Immobilières (hors Cplts de Loyers);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Directeur de Secteur (DS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Responsable Espace Comercial (REC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Responsable d'Exploitation (REX);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CIE - Autres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;ST - Locaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;ST - Autres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Structures Nationales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Charges diverses;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;SSM - Formation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;SSM - Comptabilité Bureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;SSM - Social;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;SSM - Syndical;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;SSM - DSEM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
